"","infected.treated.24hr.1","infected.treated.24hr.2","infected.treated.24hr.3","infected.treated.24hr.4","infected.treated.24hr.5","infected.untreated.24hr.1","infected.untreated.24hr.2","infected.untreated.24hr.3","infected.untreated.24hr.4","infected.untreated.24hr.5","uninfected.treated.24hr.1","uninfected.treated.24hr.2","uninfected.treated.24hr.3","uninfected.treated.24hr.4","uninfected.treated.24hr.5","uninfected.untreated.24hr.1","uninfected.untreated.24hr.2","uninfected.untreated.24hr.3","uninfected.untreated.24hr.4","uninfected.untreated.24hr.5"
"ENSG00000000003",0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000000005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000000419",9,14,2,2,3,2,1,5,5,12,11,3,14,13,1,2,3,1,0,17
"ENSG00000000457",94,95,71,84,81,158,120,129,95,178,86,94,120,100,121,231,215,239,263,243
"ENSG00000000460",119,110,104,97,118,118,84,89,63,128,135,142,126,107,113,114,93,100,125,124
"ENSG00000000938",4,8,0,0,0,0,2,14,22,22,8,3,10,6,3,3,1,0,0,4
"ENSG00000000971",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001036",17,44,15,13,9,8,5,12,7,21,21,18,29,34,13,14,6,13,8,22
"ENSG00000001084",16,39,3,5,9,1,1,5,12,11,30,18,22,33,4,4,2,0,1,12
"ENSG00000001167",19,36,10,6,9,14,3,20,34,34,29,33,36,35,9,34,18,14,15,67
"ENSG00000001460",7,11,8,10,14,22,20,18,10,32,13,14,22,16,14,25,24,24,37,25
"ENSG00000001461",6,3,3,2,2,3,2,4,4,11,4,4,5,7,2,4,0,0,1,13
"ENSG00000001497",10,24,5,4,2,2,1,16,14,18,22,15,23,21,3,22,19,9,8,73
"ENSG00000001561",4,10,0,4,1,0,0,5,1,2,4,5,16,14,2,1,1,1,0,5
"ENSG00000001617",1,0,0,0,0,0,0,1,4,2,2,1,1,3,0,2,0,0,1,6
"ENSG00000001626",2,0,3,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
"ENSG00000001629",6,8,0,0,0,0,1,6,2,4,6,1,12,19,1,3,1,1,0,15
"ENSG00000001630",0,2,1,4,1,2,2,1,1,2,1,0,2,1,1,0,0,0,1,0
"ENSG00000001631",14,21,5,3,4,4,2,7,4,13,4,8,18,18,7,8,6,5,4,18
"ENSG00000002016",2,7,2,6,4,3,3,3,1,4,1,8,7,4,5,0,0,3,2,3
"ENSG00000002079",1,4,0,1,1,1,0,3,1,0,1,4,1,7,0,4,2,2,3,3
"ENSG00000002330",16,23,8,15,16,3,5,6,16,8,16,8,25,19,18,15,3,11,9,7
"ENSG00000002549",15,42,2,4,1,0,3,16,28,28,30,11,45,37,3,6,3,2,3,34
"ENSG00000002586",10,26,2,0,0,5,1,24,38,51,20,7,26,18,3,9,3,2,4,21
"ENSG00000002587",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002726",4,16,4,1,2,2,2,9,17,6,4,4,2,3,5,3,2,0,1,4
"ENSG00000002745",1,5,1,1,4,1,0,1,0,0,0,2,0,0,2,1,2,1,2,3
"ENSG00000002746",1,2,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0
"ENSG00000002822",10,10,4,3,2,3,1,7,11,14,4,3,12,10,5,11,3,5,3,9
"ENSG00000002834",45,75,3,6,2,12,8,70,75,99,44,26,47,67,10,11,17,2,7,63
"ENSG00000002919",2,4,1,2,1,2,1,10,15,19,4,3,3,4,0,3,2,0,0,6
"ENSG00000002933",3,12,8,6,4,3,1,3,5,6,4,0,1,3,0,2,3,1,0,0
"ENSG00000003056",67,118,40,43,38,38,33,59,66,84,86,83,110,103,65,51,52,35,42,91
"ENSG00000003096",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1
"ENSG00000003137",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000003147",18,28,12,12,14,2,4,3,1,8,20,30,46,44,31,6,8,3,3,9
"ENSG00000003249",0,1,0,2,4,5,1,1,2,7,2,4,0,1,4,6,3,6,7,2
"ENSG00000003393",7,9,2,1,1,0,0,8,4,8,8,8,17,11,0,1,1,0,2,7
"ENSG00000003400",0,6,0,0,0,0,0,4,1,7,3,1,2,0,3,1,0,0,0,5
"ENSG00000003402",54,108,21,13,3,4,15,48,64,68,47,25,70,62,17,19,14,13,10,67
"ENSG00000003436",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000003509",123,116,131,129,128,131,112,103,71,125,112,155,166,143,166,136,137,153,167,146
"ENSG00000003756",29,40,5,3,4,7,4,35,48,64,26,21,28,39,13,25,7,0,4,55
"ENSG00000003987",83,73,79,77,87,62,84,81,51,63,85,115,111,80,100,46,62,50,65,59
"ENSG00000003989",3,7,1,0,0,0,0,0,0,1,5,3,10,13,1,0,1,0,0,1
"ENSG00000004059",2,10,0,1,0,1,2,7,11,14,10,5,5,9,0,4,1,0,0,9
"ENSG00000004139",487,541,577,632,722,406,297,267,248,331,850,657,853,700,1039,586,519,621,674,521
"ENSG00000004142",15,20,2,5,5,4,2,8,12,15,13,8,9,23,2,4,2,1,4,15
"ENSG00000004399",37,63,12,5,0,7,3,22,29,49,63,19,45,50,4,13,8,3,2,23
"ENSG00000004455",25,69,7,4,6,20,5,66,51,85,70,37,79,71,18,91,54,23,19,200
"ENSG00000004468",4,10,1,2,3,2,1,8,6,9,8,1,9,3,4,4,1,0,2,20
"ENSG00000004478",28,34,9,7,7,3,3,15,20,16,36,21,36,35,6,10,11,7,5,32
"ENSG00000004487",179,173,181,218,204,157,175,171,159,166,189,211,243,223,218,140,122,133,130,173
"ENSG00000004534",49,73,12,5,11,12,6,33,49,78,48,30,49,62,16,33,22,9,15,112
"ENSG00000004660",6,2,0,0,0,0,2,3,2,0,6,1,2,3,2,1,1,0,1,4
"ENSG00000004700",89,106,108,95,107,97,57,63,40,58,123,190,195,169,150,165,151,196,170,197
"ENSG00000004766",4,8,0,0,0,0,0,1,2,3,3,3,4,5,1,2,1,1,0,15
"ENSG00000004776",0,0,0,1,2,0,2,2,1,0,0,1,1,0,0,0,0,0,0,1
"ENSG00000004777",0,0,0,1,0,1,1,5,0,6,0,0,2,1,1,3,0,0,0,7
"ENSG00000004779",8,16,1,2,0,2,1,8,5,15,8,1,6,8,5,4,2,1,1,19
"ENSG00000004799",1,0,0,0,0,1,1,0,1,1,0,1,3,3,0,0,0,0,0,3
"ENSG00000004809",46,46,42,64,76,102,73,67,46,91,126,95,134,118,157,96,90,89,128,83
"ENSG00000004838",11,14,13,21,11,53,43,36,23,56,36,25,22,19,31,70,56,74,79,62
"ENSG00000004846",0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000004848",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004864",2,7,2,0,1,2,1,0,2,3,2,0,9,7,3,3,0,1,1,8
"ENSG00000004866",5,8,3,3,3,3,0,4,1,2,3,6,16,14,3,9,1,1,2,7
"ENSG00000004897",3,20,0,0,1,0,1,9,6,18,16,7,15,31,1,6,1,1,4,56
"ENSG00000004939",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
"ENSG00000004948",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004961",12,16,9,13,7,6,3,8,13,23,5,27,20,14,8,19,10,4,5,25
"ENSG00000004975",2,11,0,3,1,2,0,5,9,4,7,4,8,8,2,3,1,0,1,3
"ENSG00000005001",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005007",9,20,2,1,2,1,1,17,44,47,18,11,20,20,4,13,12,2,8,27
"ENSG00000005020",8,32,2,0,0,4,5,14,20,32,15,15,27,35,5,16,7,2,2,44
"ENSG00000005022",20,46,3,4,5,5,2,27,41,51,32,15,34,40,7,17,12,5,1,56
"ENSG00000005059",1,1,0,4,1,0,1,1,0,1,2,8,3,7,2,1,1,0,1,0
"ENSG00000005073",13,15,8,10,16,5,5,9,10,18,20,15,13,23,9,8,5,6,9,10
"ENSG00000005075",14,33,9,18,8,10,6,18,23,20,14,23,28,21,13,19,12,14,18,30
"ENSG00000005100",4,5,1,0,0,1,0,1,1,1,4,1,3,4,0,2,1,0,0,4
"ENSG00000005102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005108",9,15,3,1,0,2,0,13,4,22,14,13,28,21,4,11,9,2,5,52
"ENSG00000005156",111,99,87,100,112,45,40,44,30,52,95,169,152,137,96,77,49,64,71,80
"ENSG00000005175",21,41,1,1,1,7,2,18,16,31,17,11,45,49,11,9,7,2,4,43
"ENSG00000005187",18,27,23,28,39,98,29,47,11,30,68,108,84,62,65,165,164,206,206,206
"ENSG00000005189",8,9,4,8,8,11,8,10,7,15,6,9,6,4,14,30,20,17,28,27
"ENSG00000005194",9,13,6,20,12,13,11,4,22,21,15,3,16,13,18,13,10,9,10,13
"ENSG00000005206",6,6,1,1,0,2,2,5,7,7,11,3,7,8,2,4,2,1,1,4
"ENSG00000005238",10,3,1,0,0,0,1,9,7,10,5,1,4,2,4,0,1,2,0,6
"ENSG00000005243",0,5,2,0,1,0,0,2,0,3,1,2,4,1,0,1,0,0,0,3
"ENSG00000005249",3,2,2,1,1,4,2,1,5,10,4,3,2,5,4,1,2,1,1,27
"ENSG00000005302",5,18,0,0,0,1,0,1,3,7,4,6,8,7,2,2,1,0,0,12
"ENSG00000005339",39,70,16,6,7,14,7,41,49,65,36,30,55,46,6,15,4,9,6,34
"ENSG00000005379",34,62,44,54,66,170,25,30,4,35,189,135,195,159,319,434,334,450,453,325
"ENSG00000005381",3,1,0,0,1,5,2,3,5,2,1,2,10,3,3,2,0,0,0,2
"ENSG00000005421",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005436",66,70,58,59,70,62,36,23,43,39,58,93,111,74,79,82,80,71,90,83
"ENSG00000005448",6,2,4,5,7,4,6,7,7,16,4,7,9,8,7,5,5,7,11,2
"ENSG00000005469",0,4,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,2,0,1
"ENSG00000005471",0,0,1,0,0,0,1,2,0,2,0,0,0,1,0,2,0,0,1,4
"ENSG00000005483",32,45,25,41,30,25,19,48,45,85,58,57,66,54,41,42,37,34,34,61
"ENSG00000005486",4,7,1,0,0,0,0,0,4,6,4,1,5,5,0,0,1,0,0,0
"ENSG00000005513",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005700",4,35,0,0,1,0,0,5,4,11,8,13,22,23,1,8,2,0,0,31
"ENSG00000005801",4,12,0,0,0,1,2,4,2,11,14,8,15,23,2,5,5,0,0,26
"ENSG00000005810",22,72,12,10,9,0,5,17,18,27,36,23,64,46,18,16,10,3,7,72
"ENSG00000005812",571,624,557,565,628,251,226,253,170,289,447,705,681,640,554,281,284,318,344,298
"ENSG00000005844",11,21,1,1,0,0,2,28,28,52,24,9,25,18,4,7,2,1,5,29
"ENSG00000005882",46,52,50,46,51,62,77,70,84,73,11,6,22,16,14,22,26,23,28,20
"ENSG00000005884",1,2,0,0,0,0,2,1,0,1,2,1,0,2,1,1,0,0,0,1
"ENSG00000005889",7,10,2,0,0,1,1,12,13,13,9,6,14,5,4,2,0,0,0,17
"ENSG00000005893",38,81,8,7,3,3,5,31,41,69,63,30,88,77,8,29,17,3,8,70
"ENSG00000005961",0,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0
"ENSG00000005981",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006007",13,35,0,1,1,1,4,12,13,13,16,7,36,38,8,9,4,2,1,32
"ENSG00000006015",2,1,3,1,0,1,0,2,3,4,4,3,1,7,1,0,0,0,1,4
"ENSG00000006016",174,120,155,117,221,293,97,83,101,134,152,116,208,124,120,133,229,366,533,119
"ENSG00000006025",4,4,2,0,0,0,1,3,9,3,2,1,4,4,0,1,0,0,0,4
"ENSG00000006042",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006062",33,31,24,26,30,48,26,34,25,51,28,46,44,37,44,49,40,32,51,45
"ENSG00000006071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006118",99,122,100,99,99,102,137,124,163,135,102,114,176,115,132,55,36,39,40,34
"ENSG00000006125",30,78,11,8,12,12,2,20,23,46,38,34,56,64,12,26,19,10,22,45
"ENSG00000006128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006194",189,164,157,150,160,99,87,97,65,107,221,268,261,219,236,142,130,132,193,138
"ENSG00000006210",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
"ENSG00000006282",3,11,0,0,0,0,1,7,7,5,2,3,6,8,1,2,0,0,0,10
"ENSG00000006283",0,0,0,0,0,4,1,1,0,1,1,1,0,0,0,3,5,3,5,4
"ENSG00000006327",2,1,2,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1
"ENSG00000006377",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006432",1,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0
"ENSG00000006451",8,26,0,1,0,1,4,6,11,8,9,6,15,9,1,0,3,3,0,13
"ENSG00000006453",62,71,66,93,84,25,37,33,40,23,61,62,97,75,76,41,20,24,22,30
"ENSG00000006459",5,10,0,0,0,0,1,0,4,5,2,5,3,3,0,0,0,0,0,3
"ENSG00000006468",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"ENSG00000006530",7,23,5,13,8,8,7,6,5,10,16,10,9,9,10,7,8,4,7,6
"ENSG00000006534",9,14,6,7,6,5,3,15,7,26,14,4,19,9,4,5,6,1,3,15
"ENSG00000006555",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006576",3,3,0,1,0,2,0,5,4,6,1,1,9,10,1,3,2,2,2,10
"ENSG00000006606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000006607",26,37,14,23,32,17,9,16,12,22,17,17,26,26,26,23,14,19,16,16
"ENSG00000006611",0,0,0,0,0,0,1,1,0,2,0,0,1,1,0,2,0,0,0,1
"ENSG00000006625",3,5,5,2,1,0,2,5,1,6,1,4,12,10,4,7,6,0,1,14
"ENSG00000006634",121,159,124,134,120,55,30,31,29,44,75,137,125,142,94,42,46,62,65,52
"ENSG00000006638",0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0
"ENSG00000006652",12,26,4,3,2,0,1,4,8,13,19,13,29,20,6,7,4,1,1,13
"ENSG00000006659",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006695",7,11,6,4,10,2,1,5,4,4,1,2,9,9,2,0,0,0,0,1
"ENSG00000006704",5,9,1,0,0,0,0,5,3,7,7,4,5,4,1,2,1,0,0,1
"ENSG00000006712",22,22,9,7,12,14,6,46,50,56,32,14,31,27,9,17,22,8,17,44
"ENSG00000006715",10,33,5,0,2,1,3,14,14,21,16,13,28,27,3,8,6,4,2,27
"ENSG00000006740",2,5,5,5,5,4,0,2,1,4,13,7,8,6,9,8,3,5,5,3
"ENSG00000006744",3,5,2,1,0,0,1,2,4,2,6,1,8,3,1,4,0,3,0,10
"ENSG00000006747",2,3,0,0,0,2,0,1,2,5,1,0,1,3,1,2,0,0,0,3
"ENSG00000006756",10,15,3,1,0,7,6,13,13,24,18,7,18,17,1,7,6,3,2,21
"ENSG00000006757",1,5,1,1,0,0,0,0,0,2,0,3,7,3,1,4,2,1,1,1
"ENSG00000006788",0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006831",9,24,0,1,5,3,2,14,27,21,18,9,23,20,10,8,2,0,6,24
"ENSG00000006837",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007001",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007047",15,20,7,6,4,5,5,15,23,20,21,13,28,18,10,7,10,8,11,9
"ENSG00000007062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007080",14,22,7,5,6,4,5,8,14,15,13,8,15,17,4,10,9,4,7,10
"ENSG00000007129",0,1,0,0,1,0,0,1,1,4,0,0,0,1,0,3,1,0,0,2
"ENSG00000007168",14,22,5,1,1,2,0,13,18,25,8,6,18,15,2,9,1,2,0,25
"ENSG00000007171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007174",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000007202",39,91,8,8,4,21,10,50,47,79,55,30,91,67,17,25,22,9,8,115
"ENSG00000007216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007237",46,73,4,5,6,4,2,36,48,41,13,6,18,21,0,4,3,2,4,13
"ENSG00000007255",2,4,1,0,1,0,1,2,0,3,3,0,2,2,0,1,2,0,0,1
"ENSG00000007264",1,1,0,0,0,0,0,3,1,3,1,0,1,5,0,4,0,0,3,2
"ENSG00000007306",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000007312",2,0,0,0,0,0,0,3,2,2,0,0,0,3,0,1,0,0,0,2
"ENSG00000007314",0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0
"ENSG00000007341",40,53,44,43,55,41,36,30,34,49,42,52,52,44,39,43,46,59,67,48
"ENSG00000007350",3,13,0,1,0,3,0,11,16,18,9,3,9,17,2,3,3,1,0,11
"ENSG00000007372",12,12,15,10,19,16,9,6,5,9,21,37,36,21,32,31,31,51,42,37
"ENSG00000007376",2,4,0,0,1,2,0,4,4,4,6,5,1,5,2,2,2,1,2,5
"ENSG00000007384",1,3,0,0,0,4,0,2,11,5,0,1,4,5,0,2,1,0,2,1
"ENSG00000007392",6,13,1,2,1,0,0,3,9,5,3,4,12,3,1,6,1,2,1,13
"ENSG00000007402",7,14,12,17,16,14,12,9,9,9,15,10,13,12,9,9,8,11,10,7
"ENSG00000007516",150,190,162,161,143,104,75,55,54,101,144,140,164,132,189,152,118,149,158,116
"ENSG00000007520",5,8,3,2,0,0,0,6,9,6,11,2,7,8,2,2,1,3,1,10
"ENSG00000007541",2,5,1,1,0,1,0,2,4,3,1,1,1,2,1,2,1,0,0,4
"ENSG00000007545",2,5,2,5,1,2,1,2,3,7,4,2,4,12,0,3,0,1,0,2
"ENSG00000007866",0,0,1,0,1,1,0,2,2,1,0,0,0,0,2,1,0,0,0,2
"ENSG00000007908",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000007923",39,61,34,24,31,26,12,23,30,34,36,37,39,56,45,26,20,23,26,29
"ENSG00000007933",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
"ENSG00000007944",0,0,0,0,0,0,1,22,22,35,0,0,3,2,0,3,0,0,0,10
"ENSG00000007952",7,5,5,4,8,8,5,3,3,4,6,6,9,6,7,4,2,5,8,8
"ENSG00000007968",0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,3,0,1,7
"ENSG00000008018",12,39,0,0,0,1,0,12,20,40,18,4,25,19,1,10,4,1,0,31
"ENSG00000008056",7,19,9,6,12,9,9,11,11,16,15,8,10,11,10,7,11,11,16,8
"ENSG00000008083",9,12,3,3,1,2,3,16,19,31,16,7,13,11,3,7,2,0,3,16
"ENSG00000008086",0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,2
"ENSG00000008118",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008128",1,1,0,0,0,2,0,0,2,3,2,0,0,2,0,0,3,0,0,0
"ENSG00000008130",94,85,66,99,89,38,27,64,83,70,57,69,76,92,55,46,29,33,38,67
"ENSG00000008196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008226",252,281,296,275,308,353,351,309,340,394,284,243,287,263,346,343,277,347,410,298
"ENSG00000008256",2,4,1,2,0,2,1,5,8,8,7,2,4,8,2,5,1,0,0,6
"ENSG00000008277",8,4,9,8,12,12,7,10,6,4,20,15,22,18,17,11,6,6,13,13
"ENSG00000008282",6,14,2,1,1,1,1,3,1,5,5,3,12,14,1,7,4,1,0,28
"ENSG00000008283",0,2,0,0,0,0,0,3,1,0,0,1,0,1,1,1,0,0,0,1
"ENSG00000008294",35,74,9,5,7,5,1,19,34,52,32,34,65,87,14,16,8,3,3,59
"ENSG00000008300",6,5,5,4,4,4,3,5,1,5,9,9,6,3,8,2,3,5,5,3
"ENSG00000008311",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"ENSG00000008323",0,2,0,0,3,0,1,1,2,0,1,1,1,1,0,2,0,0,2,3
"ENSG00000008324",47,46,34,34,50,39,40,34,22,24,29,37,47,43,35,44,30,48,44,37
"ENSG00000008382",6,15,2,7,1,1,2,4,3,7,13,6,3,10,1,5,4,3,3,5
"ENSG00000008394",16,41,6,3,2,2,4,12,17,17,18,15,35,41,8,5,6,5,2,38
"ENSG00000008405",4,4,0,0,0,0,0,1,0,1,1,4,8,6,0,0,1,1,0,1
"ENSG00000008438",3,3,1,2,0,0,1,0,0,4,5,1,4,2,1,1,2,2,1,2
"ENSG00000008441",7,13,11,14,14,22,9,17,9,16,30,39,23,26,24,26,22,30,30,31
"ENSG00000008513",24,62,5,5,21,16,6,55,69,86,48,28,51,44,22,10,6,8,13,43
"ENSG00000008516",102,135,103,114,133,95,64,56,65,68,81,93,107,98,115,109,66,114,116,60
"ENSG00000008517",46,80,57,40,46,82,63,46,56,84,49,60,52,50,112,44,62,61,45,64
"ENSG00000008710",30,48,7,4,4,9,5,19,42,23,24,17,25,40,8,6,3,1,7,21
"ENSG00000008735",0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008838",4,6,1,0,1,0,0,8,8,15,16,6,12,11,5,7,2,2,1,13
"ENSG00000008853",99,102,86,75,72,38,63,44,60,77,80,81,112,75,93,33,33,35,48,55
"ENSG00000008869",3,8,0,0,2,0,0,6,5,12,5,2,9,8,2,0,1,0,0,13
"ENSG00000008952",90,106,28,30,24,34,14,63,72,86,108,80,128,115,45,62,34,23,28,170
"ENSG00000008988",170,471,7,7,7,22,10,291,363,558,250,89,277,321,27,78,35,6,16,395
"ENSG00000009307",210,480,34,28,38,28,25,243,285,501,314,206,483,474,72,129,76,16,18,489
"ENSG00000009335",12,31,0,0,3,1,0,10,7,24,27,6,40,21,6,6,5,3,3,38
"ENSG00000009413",39,76,27,27,25,14,13,27,16,31,44,52,76,78,41,23,14,16,16,39
"ENSG00000009694",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000009709",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000009724",144,143,133,144,178,131,102,114,102,130,155,197,232,167,268,186,174,168,171,147
"ENSG00000009765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000009780",0,5,0,1,0,0,0,1,5,0,0,0,2,1,1,1,0,1,0,5
"ENSG00000009790",105,118,94,104,103,59,31,45,55,89,119,151,141,151,138,124,85,109,98,114
"ENSG00000009830",0,4,2,0,0,0,0,1,3,3,1,0,5,1,1,5,2,0,2,6
"ENSG00000009844",7,18,0,0,0,0,0,5,10,18,10,3,16,13,2,2,4,1,0,29
"ENSG00000009950",1,0,0,0,0,0,0,2,0,2,1,1,1,2,0,1,1,0,0,1
"ENSG00000009954",35,52,8,3,5,3,2,35,42,71,41,33,47,63,16,32,18,5,6,107
"ENSG00000010017",27,47,22,36,26,15,9,16,21,20,45,48,48,39,36,29,19,26,21,42
"ENSG00000010030",0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0
"ENSG00000010072",151,173,171,198,173,202,142,134,129,160,197,150,174,176,189,202,148,202,201,158
"ENSG00000010165",9,14,3,0,1,0,1,3,6,14,9,5,11,12,0,4,2,1,0,18
"ENSG00000010219",0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
"ENSG00000010244",11,40,0,3,2,6,6,33,33,36,25,14,38,28,5,14,10,4,2,84
"ENSG00000010256",14,39,0,1,0,0,1,24,20,31,23,10,36,23,2,9,3,1,1,38
"ENSG00000010270",8,29,6,8,4,6,5,9,12,7,30,16,35,19,28,9,14,12,10,22
"ENSG00000010278",0,3,0,0,0,1,0,1,3,2,0,0,3,5,0,0,0,0,0,1
"ENSG00000010282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000010292",22,32,22,22,29,60,44,63,32,71,30,27,30,24,28,85,62,64,66,109
"ENSG00000010295",5,11,4,2,4,3,1,8,12,13,5,6,5,12,2,6,3,7,2,8
"ENSG00000010310",1,4,0,2,1,2,2,5,3,5,0,1,0,0,0,1,0,0,0,5
"ENSG00000010318",1,7,0,0,1,1,0,1,0,3,2,3,11,11,3,1,2,0,0,3
"ENSG00000010319",4,1,0,0,0,0,0,1,2,1,1,0,2,3,1,1,2,2,0,6
"ENSG00000010322",15,25,4,3,3,2,2,29,23,29,15,9,14,20,6,10,4,2,4,19
"ENSG00000010327",53,71,91,66,125,65,47,38,41,52,34,21,38,35,55,109,74,87,135,77
"ENSG00000010361",71,86,80,65,82,116,136,126,112,158,109,76,84,96,109,165,123,119,127,117
"ENSG00000010379",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000010404",8,34,9,6,4,5,7,5,12,23,7,8,20,18,7,17,15,11,12,25
"ENSG00000010438",3,1,0,5,2,2,2,4,4,3,1,1,4,3,3,2,1,1,2,3
"ENSG00000010539",2,8,0,1,0,1,0,6,5,6,5,1,6,6,1,3,0,5,2,14
"ENSG00000010610",18,17,1,0,1,3,6,62,89,95,27,6,25,34,3,14,10,1,0,71
"ENSG00000010626",0,1,0,0,0,0,1,1,0,1,2,3,1,2,0,0,0,0,0,3
"ENSG00000010671",7,23,2,2,4,2,3,12,26,38,18,20,33,27,5,15,13,3,5,46
"ENSG00000010704",3,0,1,3,4,0,1,1,1,0,2,1,1,0,2,1,0,0,0,0
"ENSG00000010803",32,53,13,11,17,12,8,23,32,44,40,34,56,60,21,24,20,11,16,44
"ENSG00000010810",7,18,0,3,1,2,0,6,7,5,15,6,26,28,2,2,5,1,0,8
"ENSG00000010818",3,23,1,0,1,1,0,19,11,26,1,0,5,4,1,3,2,0,0,1
"ENSG00000010932",0,0,1,1,0,2,0,1,0,1,2,6,3,1,6,13,4,6,3,11
